id,username,email,password_hash,is_admin,created_at
1,user01,user01@example.com,$2b$12$rTlsurExUpsBG4cXWrPQcuJF5Oq3Nn3CU6xh1RTD0oXIA/XW.wS4G,false,2026-05-14T02:39:12.561095+00:00
2,user02,user02@example.com,$2b$12$rTlsurExUpsBG4cXWrPQcuJF5Oq3Nn3CU6xh1RTD0oXIA/XW.wS4G,false,2026-05-14T02:39:12.561095+00:00
3,user03,user03@example.com,$2b$12$rTlsurExUpsBG4cXWrPQcuJF5Oq3Nn3CU6xh1RTD0oXIA/XW.wS4G,false,2026-05-14T02:39:12.561095+00:00
4,user04,user04@example.com,$2b$12$rTlsurExUpsBG4cXWrPQcuJF5Oq3Nn3CU6xh1RTD0oXIA/XW.wS4G,false,2026-05-14T02:39:12.561095+00:00
5,user05,user05@example.com,$2b$12$rTlsurExUpsBG4cXWrPQcuJF5Oq3Nn3CU6xh1RTD0oXIA/XW.wS4G,false,2026-05-14T02:39:12.561095+00:00
6,user06,user06@example.com,$2b$12$rTlsurExUpsBG4cXWrPQcuJF5Oq3Nn3CU6xh1RTD0oXIA/XW.wS4G,false,2026-05-14T02:39:12.561095+00:00
7,user07,user07@example.com,$2b$12$rTlsurExUpsBG4cXWrPQcuJF5Oq3Nn3CU6xh1RTD0oXIA/XW.wS4G,false,2026-05-14T02:39:12.561095+00:00
8,user08,user08@example.com,$2b$12$rTlsurExUpsBG4cXWrPQcuJF5Oq3Nn3CU6xh1RTD0oXIA/XW.wS4G,false,2026-05-14T02:39:12.561095+00:00
9,user09,user09@example.com,$2b$12$rTlsurExUpsBG4cXWrPQcuJF5Oq3Nn3CU6xh1RTD0oXIA/XW.wS4G,false,2026-05-14T02:39:12.561095+00:00
10,user10,user10@example.com,$2b$12$rTlsurExUpsBG4cXWrPQcuJF5Oq3Nn3CU6xh1RTD0oXIA/XW.wS4G,false,2026-05-14T02:39:12.561095+00:00
11,user11,user11@example.com,$2b$12$rTlsurExUpsBG4cXWrPQcuJF5Oq3Nn3CU6xh1RTD0oXIA/XW.wS4G,false,2026-05-14T02:39:12.561095+00:00
12,user12,user12@example.com,$2b$12$rTlsurExUpsBG4cXWrPQcuJF5Oq3Nn3CU6xh1RTD0oXIA/XW.wS4G,false,2026-05-14T02:39:12.561095+00:00
13,user13,user13@example.com,$2b$12$rTlsurExUpsBG4cXWrPQcuJF5Oq3Nn3CU6xh1RTD0oXIA/XW.wS4G,false,2026-05-14T02:39:12.561095+00:00
14,user14,user14@example.com,$2b$12$rTlsurExUpsBG4cXWrPQcuJF5Oq3Nn3CU6xh1RTD0oXIA/XW.wS4G,false,2026-05-14T02:39:12.561095+00:00
15,user15,user15@example.com,$2b$12$rTlsurExUpsBG4cXWrPQcuJF5Oq3Nn3CU6xh1RTD0oXIA/XW.wS4G,false,2026-05-14T02:39:12.561095+00:00
16,user16,user16@example.com,$2b$12$rTlsurExUpsBG4cXWrPQcuJF5Oq3Nn3CU6xh1RTD0oXIA/XW.wS4G,false,2026-05-14T02:39:12.561095+00:00
17,user17,user17@example.com,$2b$12$rTlsurExUpsBG4cXWrPQcuJF5Oq3Nn3CU6xh1RTD0oXIA/XW.wS4G,false,2026-05-14T02:39:12.561095+00:00
18,user18,user18@example.com,$2b$12$rTlsurExUpsBG4cXWrPQcuJF5Oq3Nn3CU6xh1RTD0oXIA/XW.wS4G,false,2026-05-14T02:39:12.561095+00:00
19,user19,user19@example.com,$2b$12$rTlsurExUpsBG4cXWrPQcuJF5Oq3Nn3CU6xh1RTD0oXIA/XW.wS4G,false,2026-05-14T02:39:12.561095+00:00
20,user20,user20@example.com,$2b$12$rTlsurExUpsBG4cXWrPQcuJF5Oq3Nn3CU6xh1RTD0oXIA/XW.wS4G,false,2026-05-14T02:39:12.561095+00:00
21,admin,admin@example.com,$2b$12$sx3ukDUr/R3Th.eGg34AOeNIX.EKJgKH7IG.z.DtnEr3l.KVeWYl2,true,2026-05-14T02:39:12.561095+00:00
